generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
50,1000,814.4363636363636,1000.0,1.0,1.0,1.0,3,37.945
100,1000,910.5454545454545,1006.0,1.0,1.0,1.0,5,75.615
150,1000,823.5090909090909,996.0,1.0,1.0,1.0,3,113.57
200,1000,793.2363636363636,1004.0,1.0,1.0,1.0,4,151.318
250,1000,770.8,994.0,1.0,1.0,1.0,3,189.08
300,1000,732.290909090909,992.0,1.0,1.0,1.0,3,227.297
350,1000,861.4545454545455,1015.0,1.0,1.0,1.0,3,264.527
400,1000,837.4363636363636,1004.0,1.0,1.0,1.0,3,302.384
450,1000,866.9636363636364,1021.0,1.0,1.0,1.0,3,339.395
500,1000,820.3272727272728,1000.0,1.0,1.0,1.0,4,377.286
