generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
50,1000,894.3636363636364,1016.0,1.0,1.0,1.0,3,37.763
100,1000,876.3454545454546,1007.0,1.0,1.0,1.0,3,74.973
150,1000,843.1818181818181,1005.0,1.0,1.0,1.0,3,112.927
200,1000,675.8909090909091,1003.0,1.0,1.0,1.0,3,150.581
250,1000,893.0909090909091,1000.0,1.0,1.0,1.0,3,188.081
300,1000,806.2181818181818,1016.0,1.0,1.0,1.0,3,225.507
350,1000,772.5272727272727,1018.0,1.0,1.0,1.0,3,262.347
400,1000,762.6,999.0,1.0,1.0,1.0,4,300.602
450,1000,780.8909090909091,1010.0,1.0,1.0,1.0,3,337.999
500,1000,724.5818181818182,1013.0,1.0,1.0,1.0,3,375.903
