generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
50,1000,877.5636363636364,1010.0,1.0,1.0,1.0,4,38.045
100,1000,820.1818181818181,996.0,1.0,1.0,1.0,5,75.226
150,1000,864.2181818181818,1013.0,1.0,1.0,1.0,4,112.799
200,1000,880.0363636363636,1007.0,1.0,1.0,1.0,3,150.407
250,1000,799.2545454545455,1010.0,1.0,1.0,1.0,3,188.2
300,1000,813.9636363636364,1007.0,1.0,1.0,1.0,4,225.675
350,1000,755.6181818181818,1012.0,1.0,1.0,1.0,3,261.736
400,1000,753.1636363636363,1000.0,1.0,1.0,1.0,3,298.192
450,1000,757.1090909090909,1022.0,1.0,1.0,1.0,4,336.786
500,1000,773.7818181818182,990.0,1.0,1.0,1.0,2,373.956
