generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
50,1000,902.6,1008.0,1.0,1.0,1.0,4,38.628
100,1000,705.8909090909091,995.0,1.0,1.0,1.0,3,75.64
150,1000,688.2181818181818,998.0,1.0,1.0,1.0,3,112.605
200,1000,729.5090909090909,1007.0,1.0,1.0,1.0,3,150.488
250,1000,398.72727272727275,510.0,1.0,1.0,1.0,3,188.03
300,1000,628.8545454545455,993.0,1.0,1.0,1.0,3,225.496
350,1000,492.3272727272727,607.0,1.0,1.0,1.0,3,262.71
400,1000,552.0181818181818,657.0,1.0,1.0,1.0,3,300.355
450,1000,681.5636363636364,1000.0,1.0,1.0,1.0,3,338.271
500,1000,554.4181818181818,736.0,1.0,1.0,1.0,3,376.191
