group,dimension,birth,death,length
mixed,0,0.0,0.0833333358168602,0.0833333358168602
mixed,0,0.0,0.0833333358168602,0.0833333358168602
mixed,0,0.0,0.0833333358168602,0.0833333358168602
mixed,0,0.0,0.0833333358168602,0.0833333358168602
mixed,0,0.0,0.0833333358168602,0.0833333358168602
mixed,0,0.0,0.0833333358168602,0.0833333358168602
mixed,0,0.0,0.0833333358168602,0.0833333358168602
mixed,0,0.0,0.0833333358168602,0.0833333358168602
mixed,0,0.0,0.0833333358168602,0.0833333358168602
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.1666666716337204,0.1666666716337204
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.3333333432674408,0.3333333432674408
mixed,0,0.0,0.3333333432674408,0.3333333432674408
mixed,1,0.3333333432674408,0.4166666567325592,0.08333331346511841
mixed,1,0.3333333432674408,0.4166666567325592,0.08333331346511841
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.25,0.3333333432674408,0.0833333432674408
mixed,1,0.1666666716337204,0.25,0.0833333283662796
mixed,1,0.1666666716337204,0.25,0.0833333283662796
mixed,2,0.4166666567325592,0.5,0.0833333432674408
mixed,2,0.3333333432674408,0.4166666567325592,0.08333331346511841
