group,dimension,birth,death,length
recombinant,0,0.0,0.03030303120613098,0.03030303120613098
recombinant,0,0.0,0.1515151560306549,0.1515151560306549
recombinant,0,0.0,0.1515151560306549,0.1515151560306549
recombinant,0,0.0,0.1818181872367859,0.1818181872367859
recombinant,0,0.0,0.1818181872367859,0.1818181872367859
recombinant,0,0.0,0.1818181872367859,0.1818181872367859
recombinant,0,0.0,0.21212121844291687,0.21212121844291687
recombinant,0,0.0,0.21212121844291687,0.21212121844291687
recombinant,0,0.0,0.21212121844291687,0.21212121844291687
recombinant,0,0.0,0.21212121844291687,0.21212121844291687
recombinant,0,0.0,0.21212121844291687,0.21212121844291687
recombinant,0,0.0,0.21212121844291687,0.21212121844291687
recombinant,0,0.0,0.24242424964904785,0.24242424964904785
recombinant,0,0.0,0.24242424964904785,0.24242424964904785
recombinant,0,0.0,0.24242424964904785,0.24242424964904785
recombinant,0,0.0,0.24242424964904785,0.24242424964904785
recombinant,0,0.0,0.24242424964904785,0.24242424964904785
recombinant,0,0.0,0.24242424964904785,0.24242424964904785
recombinant,0,0.0,0.24242424964904785,0.24242424964904785
recombinant,0,0.0,0.24242424964904785,0.24242424964904785
recombinant,0,0.0,0.24242424964904785,0.24242424964904785
recombinant,0,0.0,0.24242424964904785,0.24242424964904785
recombinant,0,0.0,0.27272728085517883,0.27272728085517883
recombinant,0,0.0,0.27272728085517883,0.27272728085517883
recombinant,0,0.0,0.27272728085517883,0.27272728085517883
recombinant,0,0.0,0.6060606241226196,0.6060606241226196
recombinant,1,0.3333333432674408,0.39393940567970276,0.06060606241226196
recombinant,1,0.27272728085517883,0.3333333432674408,0.06060606241226196
recombinant,1,0.27272728085517883,0.3030303120613098,0.03030303120613098
recombinant,1,0.27272728085517883,0.3030303120613098,0.03030303120613098
recombinant,1,0.27272728085517883,0.3030303120613098,0.03030303120613098
recombinant,1,0.24242424964904785,0.27272728085517883,0.03030303120613098
recombinant,1,0.24242424964904785,0.27272728085517883,0.03030303120613098
recombinant,2,0.39393940567970276,0.42424243688583374,0.03030303120613098
