group,dimension,birth,death,length
mixed,0,0.0,0.25641027092933655,0.25641027092933655
mixed,0,0.0,0.28205129504203796,0.28205129504203796
mixed,0,0.0,0.28205129504203796,0.28205129504203796
mixed,0,0.0,0.29487180709838867,0.29487180709838867
mixed,0,0.0,0.3076923191547394,0.3076923191547394
mixed,0,0.0,0.3076923191547394,0.3076923191547394
mixed,0,0.0,0.3205128312110901,0.3205128312110901
mixed,0,0.0,0.3205128312110901,0.3205128312110901
mixed,0,0.0,0.3205128312110901,0.3205128312110901
mixed,0,0.0,0.3461538553237915,0.3461538553237915
mixed,0,0.0,0.3589743673801422,0.3589743673801422
mixed,0,0.0,0.5897436141967773,0.5897436141967773
mixed,1,0.3205128312110901,0.3333333432674408,0.012820512056350708
mixed,1,0.3205128312110901,0.3717948794364929,0.05128204822540283
